Hour,Capacity Calculation [MWh],Capacity Allocation [MWh],Total volume risk [MWh],λ OBZ [€/MWh],λ zone 1 [€/MWh],λ zone 2 [€/MWh],λ zone 3 [€/MWh],Curtailment OWF 119 (z1) [MWh],Curtailment OWF 124 (z2) [MWh],Curtailment OWF 120 (z3) [MWh]
x161,140.0026804985141,774.1137956297677,914.1164761282818,-0.0,65.64,8.85,-0.0,810.7734452325037,103.34303089577804,0.0
x162,233.72268199851487,797.3709485722411,1031.093630570756,-0.0,66.57,8.85,-0.0,896.510599174978,134.583031395778,0.0
x163,323.7076789985149,493.8676178609603,817.5752968594752,-1e-08,66.57,8.85,-1e-08,817.5752968594752,0.0,0.0
x164,374.37767899851406,531.6340473561044,906.0117263546184,-1e-08,65.64,8.85,-1e-08,906.0117263546184,0.0,0.0
x165,412.20768049851495,781.6057901078086,1193.8134706063236,-1e-08,65.64,0.2499850551935907,-1e-08,516.2434706063239,0.0,677.5699999999997
x166,440.3176819985151,1967.322319001485,2407.640001,-1e-08,48.53,-1e-08,-1e-08,1203.8200005,0.0,1203.8200005
x167,455.28767899851437,1962.3323200014856,2417.619999,-1e-08,48.19,-1e-08,-1e-08,1208.8099995,0.0,1208.8099995
x168,469.9126789985139,1957.457320001486,2427.369999,-1e-08,48.19,-1e-08,-1e-08,1213.6849995,0.0,1213.6849995
x169,223.88492894886576,2305.9044583108166,2529.7893872596824,-1e-08,47.42,-1e-08,-1e-08,1214.1400005,101.50938625968206,1214.1400005
x170,76.99168069711368,2995.572178273947,3072.5638589710607,-1e-08,37.28,-1e-08,-1e-08,1213.7599995,645.0438599710603,1213.7599995
x171,458.5126804985143,3153.890350397264,3612.403030895778,-1e-08,37.28,-1e-08,-1e-08,1209.885,1192.633030895778,1209.885
x172,0.0,3096.44,3096.44,-1e-08,36.05,-1e-08,-1e-08,1204.44,687.56,1204.44
x173,0.0,3046.4149985,3046.4149985,-1e-08,36.05,-1e-08,-1e-08,1187.7649995,670.8849995,1187.7649995
x174,0.0,3026.4199999999996,3026.4199999999996,-1e-08,36.05,-1e-08,-1e-08,1181.1,664.2199999999998,1181.1
x175,0.0,2964.8450015,2964.8450015,-1e-08,35.46,-1e-08,-1e-08,1160.5750005,643.6950004999999,1160.5750005
x176,0.0,2965.2799985,2965.2799985,-1e-08,35.46,-1e-08,-1e-08,1160.7199995,643.8399995,1160.7199995
x177,153.64694881688,2170.7703503972634,2324.4172992141434,-1e-08,36.05,-1e-08,-1e-08,1114.605,95.2072992141434,1114.605
x178,5.242678998514293,2166.7240755058474,2171.9667545043617,-1e-08,37.28,-1e-08,-1e-08,1054.7487246085834,58.423030395778255,1058.7949995
x179,0.0,1945.5568047932275,1945.5568047932275,-1e-08,47.42,-1e-08,-1e-08,942.8218047932276,0.0,1002.735
x180,0.0,1800.93,1800.93,-1e-08,48.19,-1e-08,-1e-08,0.0,900.465,900.465
x181,0.0,1499.5057616879467,1499.5057616879467,-1e-08,48.19,-1e-08,-1e-08,655.7107616879468,0.0,843.795
x182,0.0,1529.9988056734078,1529.9988056734078,-1e-08,48.19,-1e-08,-1e-08,687.1988051734079,0.0,842.8000005
x183,0.0,1535.8639712690633,1535.8639712690633,-1e-08,48.19,-1e-08,-1e-08,670.7589707690631,0.0,865.1050005000001
x184,0.0,1548.3180203610698,1548.3180203610698,-1e-08,48.19,-1e-08,-1e-08,681.8780198610698,0.0,866.4400005
x185,0.0,1536.5952599544453,1536.5952599544453,-1e-08,48.19,0.1835280261417324,-1e-08,631.1702594544452,0.0,905.4250005
x186,0.0,1463.28313114116,1463.28313114116,-1e-08,65.64,8.85,-1e-08,502.1531316411599,0.0,961.1299995
x187,0.0,1710.8296048450234,1710.8296048450234,-1e-08,65.64,8.85,-1e-08,645.821573949245,32.31803089577818,1032.69
x188,17.632681998513817,1811.492942785966,1829.12562478448,-1e-08,65.64,8.85,-1e-08,703.6475928887016,62.55303139577825,1062.9250005
x189,81.14268049851444,2170.770350397264,2251.9130308957783,-1e-08,65.64,0.2499850551935907,-1e-08,1084.095,83.72303089577804,1084.095
